PREFERRED_ABBRV|PREFERRED_FULL|PREFERRED_NLMID|PREFERRED_ISSN_PRINT|PREFERRED_ISSN_ONLINE|START_YEAR|END_YEAR|FULL_TRAIL_LENGTH|FULL_TRAIL
Haemophilia|Haemophilia : the official journal of the World Federation of Hemophilia|9442916|1351-8216|1365-2516|1995|uuuu|0|
Stud Profertility Ser|Studies in profertility series|9442923|||1994|uuuu|0|
Mod Midwife|Modern midwife|9443126|0963-276X||1991|1997|0|
Prog Pain Res Manag|Progress in pain research and management|9443279|1025-6687||1994|uuuu|0|
Wiss Beitr Gesch Seelenheilkd|Wissenschaftliche Beitrage zur Geschichte der Seelenheilkunde|9500150|||1994|uuuu|0|
Monogr Quad Int Stor Med Sanita|Monografie di quaderni internazionali di storia della medicina e della sanita|9500157|||1991|1993|0|
Chem Biol|Chemistry & biology|9500160|1074-5521|1879-1301|1994|uuuu|0|
Ann Agric Environ Med|Annals of agricultural and environmental medicine : AAEM|9500166|1232-1966|1898-2263|1994|uuuu|0|
Neurobiol Dis|Neurobiology of disease|9500169|0969-9961|1095-953X|1994|uuuu|0|
Malawi Med J|Malawi medical journal : the journal of Medical Association of Malawi|9500170|1995-7262|1995-7270|1990|uuuu|0|
PFCA Rev|PFCA review|9500520|1081-5597||1992|1996|1|Rev Patient Focus Care Assoc (9601257) -Continued by-> PFCA Rev (9500520)
Fed Pract|Federal practitioner : for the health care professionals of the VA, DoD, and PHS|9500574|1078-4497|1945-337X|1994|uuuu|0|
Majallat Tibb Alfamm Alsuriyah|Majallat tibb al-famm al-Suriyah|9500584|||19uu|uuuu|0|
Jordmorbladet|Jordmorbladet : bilag til tidsskriftet Sykepleien|9500811|0805-0562||1994|2001|0|
Kanhohak Tamgu|Kanhohak t'amgu|9500886|1225-8466||1992|1994|0|
Asia Pac. J. Mol. Biol. Biotechnol.|Asia-Pacific journal of molecular biology and biotechnology|9501020|0128-7451||1993|uuuu|0|
Mol Med|Molecular medicine (Cambridge, Mass.)|9501023|1076-1551|1528-3658|1994|uuuu|0|
J Investig Med|Journal of investigative medicine : the official publication of the American Federation for Clinical Research|9501229|1081-5589|1708-8267|1924|1994|2|J Clin Invest (7802877) -Continued In Part By-> Clin Res (7806789) -Continued by-> J Investig Med (9501229)
Arch Dis Child Fetal Neonatal Ed|Archives of disease in childhood. Fetal and neonatal edition|9501297|1359-2998|1468-2052|1926|uuuu|1|Arch Dis Child (0372434) -Continued In Part By-> Arch Dis Child Fetal Neonatal Ed (9501297)
NARESA Mongr|NARESA monograph|9501763|||1993|uuuu|0|
Ryoikibetsu Shokogun Shirizu|Ryoikibetsu shokogun shirizu|9501926|||1993|2003|0|
J Health Hum Serv Adm|Journal of health and human services administration|9501928|1079-3739||1978|1994|1|J Health Hum Resour Adm (7900790) -Continued by-> J Health Hum Serv Adm (9501928)
Health Technol Assess (Rockv)|Health technology assessment|9501929|||1981|1999|1|Health Technol Assess Rep (8607675) -Continued by-> Health Technol Assess (Rockv) (9501929)
Altern Ther Health Med|Alternative therapies in health and medicine|9502013|1078-6791||1995|uuuu|0|
Nat Med|Nature medicine|9502015|1078-8956|1546-170X|1995|uuuu|0|
J Thromb Thrombolysis|Journal of thrombosis and thrombolysis|9502018|0929-5305|1573-742X|1994|uuuu|0|
Diagn Ther Endosc|Diagnostic and therapeutic endoscopy|9502019|1070-3608|1029-0516|1994|uuuu|0|
Scand J Occup Ther|Scandinavian journal of occupational therapy|9502210|1103-8128|1651-2014|1994|uuuu|0|
Health Hum Rights|Health and human rights|9502498|1079-0969|2150-4113|1994|uuuu|0|
Clin Cancer Res|Clinical cancer research : an official journal of the American Association for Cancer Research|9502500|1078-0432||1995|uuuu|0|
Curr Oncol|Current oncology (Toronto, Ont.)|9502503|1198-0052||1994|uuuu|0|
Liver Transpl Surg|Liver transplantation and surgery : official publication of the American Association for the Study of Liver Diseases and the International Liver Transplantation Society|9502504|1074-3022||1995|1999|0|
J Appl Biobehav Res|Journal of applied biobehavioral research|9502505|1071-2089|1751-9861|1993|uuuu|0|
J Gerontol A Biol Sci Med Sci|The journals of gerontology. Series A, Biological sciences and medical sciences|9502837|1079-5006|1758-535X|1995|uuuu|0|
Psychiatr Serv|Psychiatric services (Washington, D.C.)|9502838|1075-2730|1557-9700|1951|1994|2|Ment Hosp (14840420R) -Continued by-> Hosp Community Psychiatry (0040250) -Continued by-> Psychiatr Serv (9502838)
Am J Orthop (Belle Mead NJ)|American journal of orthopedics (Belle Mead, N.J.)|9502918|1078-4519|1934-3418|1972|1994|1|Orthop Rev (0431766) -Continued by-> Am J Orthop (Belle Mead NJ) (9502918)
Eur Addict Res|European addiction research|9502920|1022-6877|1421-9891|1995|uuuu|0|
Psychon Bull Rev|Psychonomic bulletin & review|9502924|1069-9384|1531-5320|1973|1993|1|Bull Psychon Soc (7505408) -Continued by-> Psychon Bull Rev (9502924)
Am J Health Syst Pharm|American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists|9503023|1079-2082|1535-2900|1943|1994|2|Clin Pharm (8207437) -Absorbed By-> Am J Hosp Pharm (0370474) -Continued by-> Am J Health Syst Pharm (9503023)
J Health Care Finance|Journal of health care finance|9503024|1078-6767||1974|1994|1|Top Health Care Financ (7509107) -Continued by-> J Health Care Finance (9503024)
J Air Waste Manag Assoc|Journal of the Air & Waste Management Association (1995)|9503111|1096-2247||1990|1994|2|J Air Waste Manage Assoc (9002202) -Continued by-> Air Waste (9433394) -Continued by-> J Air Waste Manag Assoc (9503111)
Asian Cardiovasc Thorac Ann|Asian cardiovascular & thoracic annals|9503417|0218-4923|1816-5370|1993|uuuu|0|
Nurs Leadersh Forum|Nursing leadership forum|9503422|1076-1632||1995|2005|0|
Psychodyn Couns|Psychodynamic counselling|9503424|1353-3339|1470-1057|1994|2001|0|
Ann Allergy Asthma Immunol|Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology|9503580|1081-1206|1534-4436|1943|1994|1|Ann Allergy (0372346) -Continued by-> Ann Allergy Asthma Immunol (9503580)
Mich Health Hosp|Michigan health & hospitals|9503636|||1965|2003|1|Mich Hosp (1267473) -Continued by-> Mich Health Hosp (9503636)
J Equine Sci|Journal of equine science / Japanese Society of Equine Science|9503751|1340-3516|1347-7501|1994|uuuu|0|
J Clin Outcomes Manag|Journal of clinical outcomes management : JCOM|9503754|1079-6533|1938-1336|1994|uuuu|0|
J Correct Health Care|Journal of correctional health care : the official journal of the National Commission on Correctional Health Care|9503759|1078-3458|1940-5200|1994|uuuu|0|
J Int Neuropsychol Soc|Journal of the International Neuropsychological Society : JINS|9503760|1355-6177|1469-7661|1995|uuuu|0|
J Fam Nurs|Journal of family nursing|9503761|1074-8407|1552-549X|1995|uuuu|0|
Neurologist|The neurologist|9503763|1074-7931||1995|uuuu|0|
Curr Opin Pulm Med|Current opinion in pulmonary medicine|9503765|1070-5287|1531-6971|1995|uuuu|0|
J Mol Catal A Chem|Journal of molecular catalysis. A, Chemical|9503958|1381-1169||1995|uuuu|0|
Transgenics|Transgenics : biological analysis through DNA transfer|9503961|1023-6171|1607-8586|1993|1993|1|Transgene (9414471) -Continued by-> Transgenics (9503961)
Clin Rev Allergy Immunol|Clinical reviews in allergy & immunology|9504368|1080-0549|1559-0267|1983|1994|1|Clin Rev Allergy (8308524) -Continued by-> Clin Rev Allergy Immunol (9504368)
J Healthc Resour Manag|Journal of healthcare resource management|9504369|1078-9537||1985|1998|1|J Healthc Mater Manage (8601287) -Continued by-> J Healthc Resour Manag (9504369)
J Mol Med (Berl)|Journal of molecular medicine (Berlin, Germany)|9504370|0946-2716|1432-1440|1992|1994|1|Clin Investig (9207154) -Continued by-> J Mol Med (Berl) (9504370)
Dermatol Surg|Dermatologic surgery : official publication for American Society for Dermatologic Surgery [et al.]|9504371|1076-0512|1524-4725|1975|1994|2|J Dermatol Surg (7505013) -Continued by-> J Dermatol Surg Oncol (7707501) -Continued by-> Dermatol Surg (9504371)
Arch Suicide Res|Archives of suicide research : official journal of the International Academy for Suicide Research|9504451|1381-1118|1543-6136|1995|uuuu|0|
J Spinal Cord Med|The journal of spinal cord medicine|9504452|1079-0268|2045-7723|1995|uuuu|0|
Skin Res Technol|Skin research and technology : official journal of International Society for Bioengineering and the Skin (ISBS) [and] International Society for Digital Imaging of Skin (ISDIS) [and] International Society for Skin Imaging (ISSI)|9504453|0909-752X|1600-0846|1995|uuuu|0|
Curr Opin Crit Care|Current opinion in critical care|9504454|1070-5295|1531-7072|1995|uuuu|0|
Eur J Oral Sci|European journal of oral sciences|9504563|0909-8836|1600-0722|1893|1994|2|Odontol Tidskr (0270517) -Continued by-> Scand J Dent Res (0270023) -Continued by-> Eur J Oral Sci (9504563)
Director|Director (Cincinnati, Ohio)|9504684|1551-8418||1993|uuuu|0|
Am J Anesthesiol|The American journal of anesthesiology|9504685|1078-4500||1974|2001|1|Anesthesiol Rev (0414774) -Continued by-> Am J Anesthesiol (9504685)
Infocare|InfoCare : information strategies for healthcare networks|9504687|1090-4522||1994|1998|0|
J Occup Environ Med|Journal of occupational and environmental medicine / American College of Occupational and Environmental Medicine|9504688|1076-2752|1536-5948|1959|1994|1|J Occup Med (7502807) -Continued by-> J Occup Environ Med (9504688)
Clin Drug Investig|Clinical drug investigation|9504817|1173-2563|1179-1918|1995|uuuu|0|
J Mass Spectrom|Journal of mass spectrometry : JMS|9504818|1076-5174|1096-9888|1995|uuuu|0|
Neuroscientist|The Neuroscientist : a review journal bringing neurobiology, neurology and psychiatry|9504819|1073-8584|1089-4098|1995|uuuu|0|
Int J Angiol|The International journal of angiology : official publication of the International College of Angiology, Inc|9504821|1061-1711|1615-5939|1992|uuuu|0|
Creat Nurs|Creative nursing|9505022|1078-4535||1994|uuuu|0|
Wilderness Environ Med|Wilderness & environmental medicine|9505185|1080-6032|1545-1534|1990|1994|1|J Wilderness Med (9011207) -Continued by-> Wilderness Environ Med (9505185)
J Public Health Manag Pract|Journal of public health management and practice : JPHMP|9505213|1078-4659|1550-5022|1995|uuuu|0|
Telemed Today|Telemedicine today|9505215|1078-0351||1994|2002|0|
Anaerobe|Anaerobe|9505216|1075-9964|1095-8274|1995|uuuu|0|
Int J Occup Environ Health|International journal of occupational and environmental health|9505217|1077-3525|2049-3967|1995|uuuu|0|
Fish Shellfish Immunol|Fish & shellfish immunology|9505220|1050-4648|1095-9947|1991|uuuu|0|
Mcgill Queens Hannah Inst Stud Hist Med Health Soc|McGill-Queen's/Hannah Institute studies in the history of medicine, health, and society|9505529|1198-4503||1994|1997|0|
Exerc Immunol Rev|Exercise immunology review|9505535|1077-5552||1995|uuuu|0|
Breast J|The breast journal|9505539|1075-122X|1524-4741|1995|uuuu|0|
Arterioscler Thromb Vasc Biol|Arteriosclerosis, thrombosis, and vascular biology|9505803|1079-5642|1524-4636|1981|1994|2|Arteriosclerosis (8401388) -Continued by-> Arterioscler Thromb (9101388) -Continued by-> Arterioscler Thromb Vasc Biol (9505803)
Psikhologyah|Psikhologyah : ketav 'et mada'i Yisre&#x02be;eli le-'iyun ule-mehkar|9505810|0792-2949||1988|uuuu|0|
Nurs Inq|Nursing inquiry|9505881|1320-7881|1440-1800|1994|uuuu|0|
Exp Clin Endocrinol Diabetes|Experimental and clinical endocrinology & diabetes : official journal, German Society of Endocrinology [and] German Diabetes Association|9505926|0947-7349|1439-3646|1928|1994|2|Endokrinologie (0370675) -Continued by-> Exp Clin Endocrinol (8302802) -Continued by-> Exp Clin Endocrinol Diabetes (9505926)
J Refract Surg|Journal of refractive surgery (Thorofare, N.J. : 1995)|9505927|1081-597X||1989|1994|2|Refract Corneal Surg (8908429) -Continued by-> J Refract Corneal Surg (9431306) -Continued by-> J Refract Surg (9505927)
J Pediatr Hematol Oncol|Journal of pediatric hematology/oncology|9505928|1077-4114|1536-3678|1979|1994|1|Am J Pediatr Hematol Oncol (7908071) -Continued by-> J Pediatr Hematol Oncol (9505928)
Met Based Drugs|Metal-based drugs|9505939|0793-0291|1687-5486|1994|uuuu|0|
Nihon Rinsho Meneki Gakkai Kaishi|Nihon Rinsho Men'eki Gakkai kaishi = Japanese journal of clinical immunology|9505992|0911-4300|1349-7413|1978|uuuu|0|
Rev Soc Odontol La Plata|Revista de la Sociedad Odontologica de La Plata|9506154|1514-9943||1988|uuuu|0|
Z Gerontol Geriatr|Zeitschrift fur Gerontologie und Geriatrie|9506215|0948-6704|1435-1269|1995|uuuu|0|
J Atheroscler Thromb|Journal of atherosclerosis and thrombosis|9506298|1340-3478|1880-3873|1994|uuuu|0|
Violence Against Women|Violence against women|9506308|1077-8012|1552-8448|1995|uuuu|0|
J Pept Sci|Journal of peptide science : an official publication of the European Peptide Society|9506309|1075-2617|1099-1387|1995|uuuu|0|
Eur J Neurol|European journal of neurology : the official journal of the European Federation of Neurological Societies|9506311|1351-5101|1468-1331|1994|uuuu|0|
Histochem Cell Biol|Histochemistry and cell biology|9506663|0948-6143|1432-119X|1958|1994|3|Z Zellforch Microsk Anat Histochem (21810220R) -Continued by-> Histochemie (0411277) -Continued by-> Histochemistry (0411300) -Continued by-> Histochem Cell Biol (9506663)
Rev Bras Ter Intensiva|Revista Brasileira de terapia intensiva|9506692|0103-507X|1982-4335|1989|uuuu|0|
Biomed Pept Proteins Nucleic Acids|Biomedical peptides, proteins & nucleic acids : structure, synthesis & biological activity|9506699|1353-8616||1994|1997|0|
J Telemed Telecare|Journal of telemedicine and telecare|9506702|1357-633X|1758-1109|1995|uuuu|0|
Mol Breed|Molecular breeding : new strategies in plant improvement|9506703|1380-3743|1572-9788|1995|uuuu|0|
Sex Abuse|Sexual abuse : a journal of research and treatment|9506704|1079-0632|1573-286X|1995|uuuu|0|
Health Care Innov|Health care innovations : the journal of the American Association of Preferred Provider Organizations|9506760|1085-1089||1991|1999|1|AAPPO J (9206330) -Continued by-> Health Care Innov (9506760)
Int J Palliat Nurs|International journal of palliative nursing|9506762|1357-6321||1995|uuuu|0|
Med Care Res Rev|Medical care research and review : MCRR|9506850|1077-5587|1552-6801|1967|1994|1|Med Care Rev (0073130) -Continued by-> Med Care Res Rev (9506850)
J Interferon Cytokine Res|Journal of interferon & cytokine research : the official journal of the International Society for Interferon and Cytokine Research|9507088|1079-9907|1557-7465|1995|uuuu|0|
Nurs N Z|Nursing New Zealand (Wellington, N.Z. : 1995)|9507374|1173-2032||1993|1995|1|Nurs N Z (9313253) -Continued by-> Nurs N Z (9507374)
Christ Bioeth|Christian bioethics|9507416|1380-3603|1744-4195|1995|uuuu|0|
Treat Rev|Treatment review|9507417|||199u|2000|0|
J Am Psychiatr Nurses Assoc|Journal of the American Psychiatric Nurses Association|9507418|1078-3903|1532-5725|1995|uuuu|0|
Womens Health|Women's health (Hillsdale, N.J.)|9507419|1077-2928||1995|1998|0|
Natl Netw|National network (Dallas, Tex.)|9507560|1075-3753||1990|uuuu|0|
Int J Occup Saf Ergon|International journal of occupational safety and ergonomics : JOSE|9507598|1080-3548||1995|uuuu|0|
Hum Reprod Update|Human reproduction update|9507614|1355-4786|1460-2369|1986|uuuu|1|Hum Reprod (8701199) -Continued In Part By-> Hum Reprod Update (9507614)
J Exp Psychol Appl|Journal of experimental psychology. Applied|9507618|1076-898X|1939-2192|1995|uuuu|0|
Bioeth Bull|Bioethics bulletin (Washington, D.C.)|9507622|1063-3596||1992|1994|0|
Downs Syndr Res Pract|Down's syndrome, research and practice : the journal of the Sarah Duffen Centre / University of Portsmouth|9508122|0968-7912|1753-7606|1993|uuuu|0|
J Neurovirol|Journal of neurovirology|9508123|1355-0284|1538-2443|1995|uuuu|0|
J Altern Complement Med|Journal of alternative and complementary medicine (New York, N.Y.)|9508124|1075-5535|1557-7708|1995|uuuu|0|
Clin Appl Thromb Hemost|Clinical and applied thrombosis/hemostasis : official journal of the International Academy of Clinical and Applied Thrombosis/Hemostasis|9508125|1076-0296|1938-2723|1995|uuuu|0|
Emerg Infect Dis|Emerging infectious diseases|9508155|1080-6040|1080-6059|1995|uuuu|0|
Inflamm Res|Inflammation research : official journal of the European Histamine Research Society ... [et al.]|9508160|1023-3830|1420-908X|1969|1994|1|Agents Actions (0213341) -Continued by-> Inflamm Res (9508160)
Tech Urol|Techniques in urology|9508161|1079-3259||1995|2001|0|
Inflamm Bowel Dis|Inflammatory bowel diseases|9508162|1078-0998|1536-4844|1995|uuuu|0|
Psychol Public Policy Law|Psychology, public policy, and law : an official law review of the University of Arizona College of Law and the University of Miami School of Law|9508164|1076-8971||1995|uuuu|0|
Neurobiol Learn Mem|Neurobiology of learning and memory|9508166|1074-7427|1095-9564|1968|1994|3|Commun Behav Biol (0326114) -Continued by-> Behav Biol (0326100) -Continued by-> Behav Neural Biol (7905471) -Continued by-> Neurobiol Learn Mem (9508166)
Medicine (Abingdon)|Medicine (Abingdon, England : UK ed.)|9508189|1357-3039||1981|1994|1|Med Int (8105721) -Continued by-> Medicine (Abingdon) (9508189)
J Trace Elem Med Biol|Journal of trace elements in medicine and biology : organ of the Society for Minerals and Trace Elements (GMS)|9508274|0946-672X|1878-3252|1987|1994|1|J Trace Elem Electrolytes Health Dis (8807101) -Continued by-> J Trace Elem Med Biol (9508274)
Int J Biochem Cell Biol|The international journal of biochemistry & cell biology|9508482|1357-2725|1878-5875|1995|uuuu|0|
J Gerontol B Psychol Sci Soc Sci|The journals of gerontology. Series B, Psychological sciences and social sciences|9508483|1079-5014|1758-5368|1995|uuuu|0|
Oral Surg Oral Med Oral Pathol Oral Radiol Endod|Oral surgery, oral medicine, oral pathology, oral radiology, and endodontics|9508562|1079-2104|1528-395X|1995|2011|0|
Sci Justice|Science & justice : journal of the Forensic Science Society|9508563|1355-0306||1960|1994|1|J Forensic Sci Soc (7505560) -Continued by-> Sci Justice (9508563)
Oral Dis|Oral diseases|9508565|1354-523X|1601-0825|1995|uuuu|0|
Microb Drug Resist|Microbial drug resistance (Larchmont, N.Y.)|9508567|1076-6294|1931-8448|1995|uuuu|0|
Int J Psychiatr Nurs Res|The international journal of psychiatric nursing research|9508871|0968-0624||1994|2008|0|
Br J Midwifery|British journal of midwifery|9508877|0969-4900|2052-4307|1993|uuuu|0|
J Pediatr Endocrinol Metab|Journal of pediatric endocrinology & metabolism : JPEM|9508900|0334-018X|2191-0251|1995|uuuu|0|
Z Geburtshilfe Neonatol|Zeitschrift fur Geburtshilfe und Neonatologie|9508901|0948-2393|1439-1651|1995|uuuu|0|
Pharm Pract Manag Q|Pharmacy practice management quarterly|9508902|1080-5737||1981|2001|1|Top Hosp Pharm Manage (8110018) -Continued by-> Pharm Pract Manag Q (9508902)
Neurotoxins|Neurotoxins|9508903|1357-7115||1994|1994|0|
Nihon Shinkei Seishin Yakurigaku Zasshi|Nihon shinkei seishin yakurigaku zasshi = Japanese journal of psychopharmacology|9509023|1340-2544||1994|uuuu|0|
RNA|RNA (New York, N.Y.)|9509184|1355-8382|1469-9001|1995|uuuu|0|
Mult Scler|Multiple sclerosis (Houndmills, Basingstoke, England)|9509185|1352-4585|1477-0970|1995|uuuu|0|
Continuum (Minneap Minn)|Continuum (Minneapolis, Minn.)|9509333|1080-2371|1538-6899|1994|uuuu|0|
J Recept Signal Transduct Res|Journal of receptor and signal transduction research|9509432|1079-9893|1532-4281|1995|uuuu|0|
Anthropol. Sci.|Anthropological science : journal of the Anthropological Society of Nippon = Jinruigaku zasshi|9509441|0918-7960|1348-8570|1911|1992|1|Jinruigaku Zasshi (0120676) -Continued by-> Anthropol. Sci. (9509441) -Continued In Part By-> Jinruigaku Zasshi (0120676)
GMHC Treat Issues|GMHC treatment issues : the Gay Men's Health Crisis newsletter of experimental AIDS therapies|9509489|1077-1824||1994|uuuu|0|
J Conscious Stud|Journal of consciousness studies : controversies in science & the humanities|9509503|1355-8250|2051-2201|1994|uuuu|0|
Netw Res Triangle Park N C|Network (Research Triangle Park, N.C.)|9509506|0270-3637||1979|2007|0|
J Multicult Nurs Health|The journal of multicultural nursing & health : official journal of the Center for the Study of Multiculturalism and Health Care, Inc|9509701|1526-8233||1995|2007|0|
Blood Cells Mol Dis|Blood cells, molecules & diseases|9509932|1079-9796|1096-0961|1975|1994|1|Blood Cells (7513567) -Continued by-> Blood Cells Mol Dis (9509932)
Womens Health Data Book|The women's health data book : a profile of women's health in the United States / [Jacob's Institute of Women's Health]|9510047|1551-8841||1992|uuuu|0|
Inj Prev|Injury prevention : journal of the International Society for Child and Adolescent Injury Prevention|9510056|1353-8047|1475-5785|1995|uuuu|0|
Health Place|Health & place|9510067|1353-8292|1873-2054|1970|1994|1|Geogr Med (0356650) -Absorbed By-> Health Place (9510067)
Arch Physiol Biochem|Archives of physiology and biochemistry|9510153|1381-3455|1744-4160|1991|1994|1|Arch Int Physiol Biochim Biophys (9111069) -Continued by-> Arch Physiol Biochem (9510153)
J Nutr Environ Med|Journal of nutritional & environmental medicine|9510747|1359-0847|1364-6907|1995|2008|0|
Afr Link|Africa link : a publication of the Africa Region|9510758|0250-698X||198u|uuuu|0|
J Ocul Pharmacol Ther|Journal of ocular pharmacology and therapeutics : the official journal of the Association for Ocular Pharmacology and Therapeutics|9511091|1080-7683|1557-7732|1985|1994|1|J Ocul Pharmacol (8511297) -Continued by-> J Ocul Pharmacol Ther (9511091)
Redox Rep|Redox report : communications in free radical research|9511366|1351-0002|1743-2928|1994|uuuu|0|
Ruptures (Univ Montr Groupe Rech Interdiscip Sante)|Ruptures (Universite de Montreal. Groupe de recherche interdisciplinaire en sante)|9511369|1192-8808||1994|2006|0|
Cult Psychol|Culture & psychology|9511371|1354-067X|1461-7056|1995|uuuu|0|
J Oncol Pharm Pract|Journal of oncology pharmacy practice : official publication of the International Society of Oncology Pharmacy Practitioners|9511372|1078-1552|1477-092X|1995|uuuu|0|
Neurocase|Neurocase|9511374|1355-4794|1465-3656|1995|uuuu|0|
Dyslexia|Dyslexia (Chichester, England)|9511375|1076-9242|1099-0909|1995|uuuu|0|
Gen Diagn Pathol|General & diagnostic pathology|9511700|0947-823X||1991|1998|1|Zentralbl Pathol (9105594) -Continued by-> Gen Diagn Pathol (9511700)
J Inflamm|Journal of inflammation|9511967|1078-7852||1974|1998|1|Circ Shock (0414112) -Continued by-> J Inflamm (9511967)
Semin Orthod|Seminars in orthodontics|9511978|1073-8746||1995|uuuu|0|
Q J Nucl Med|The quarterly journal of nuclear medicine : official publication of the Italian Association of Nuclear Medicine (AIMN) [and] the International Association of Radiopharmacology (IAR)|9512274|1125-0135||1995|2003|0|
Tijdschr Nucl Geneeskd|Tijdschrift voor nu[c]leaire geneeskunde|9512335|1381-4842||1995|uuuu|0|
J Vector Ecol|Journal of vector ecology : journal of the Society for Vector Ecology|9512496|1081-1710||1995|uuuu|0|
J Avian Med Surg|Journal of avian medicine and surgery|9512497|1082-6742||1995|uuuu|0|
Hong Kong Med J|Hong Kong medical journal = Xianggang yi xue za zhi / Hong Kong Academy of Medicine|9512509|1024-2708||1995|uuuu|0|
Child Neuropsychol|Child neuropsychology : a journal on normal and abnormal development in childhood and adolescence|9512515|0929-7049|1744-4136|1995|uuuu|0|
Clin Risk|Clinical risk|9512518|1356-2622|1758-1028|1995|uuuu|0|
Toxic Subst Mech|Toxic substance mechanisms|9512523|1076-9188|1091-7659|1995|2000|0|
Eur J Vasc Endovasc Surg|European journal of vascular and endovascular surgery : the official journal of the European Society for Vascular Surgery|9512728|1078-5884|1532-2165|1987|1994|1|Eur J Vasc Surg (8709440) -Continued by-> Eur J Vasc Endovasc Surg (9512728)
J Trauma Nurs|Journal of trauma nursing : the official journal of the Society of Trauma Nurses|9512997|1078-7496||1994|1994|1|STNS J Trauma Nurs (9439500) -Continued by-> J Trauma Nurs (9512997)
Health Data Manag|Health data management|9512999|1079-9869||1993|1993|1|Med Claims Manag (9515688) -Continued by-> Health Data Manag (9512999)
JAAPA|JAAPA : official journal of the American Academy of Physician Assistants|9513102|1547-1896||1988|1994|1|J Am Acad Physician Assist (8805848) -Continued by-> JAAPA (9513102)
Met Ions Biol Med|Metal ions in biology and medicine : proceedings of the ... International Symposium on Metal Ions in Biology and Medicine held ... = Les ions metalliques en biologie et en medecine : ... Symposium international sur les ions metalliques ...|9513109|1257-2535||1990|uuuu|0|
Formulary|Formulary (Cleveland, Ohio)|9513311|1082-801X||1975|1995|1|Hosp Formul (7508609) -Continued by-> Formulary (9513311)
Psychiatry Clin Neurosci|Psychiatry and clinical neurosciences|9513551|1323-1316|1440-1819|1933|1994|2|Folia Psychiatr Neurol Jpn (0372774) -Continued by-> Jpn J Psychiatry Neurol (8610886) -Continued by-> Psychiatry Clin Neurosci (9513551)
Eur J Gen Pract|The European journal of general practice|9513566|1381-4788|1751-1402|1995|uuuu|0|
Hum Ecol Risk Assess|Human and ecological risk assessment : HERA|9513572|1080-7039|1549-7860|1995|uuuu|0|
Evol Comput|Evolutionary computation|9513581|1063-6560|1530-9304|1993|uuuu|0|
Parkinsonism Relat Disord|Parkinsonism & related disorders|9513583|1353-8020|1873-5126|1995|uuuu|0|
J Craniomaxillofac Trauma|The Journal of cranio-maxillofacial trauma|9513587|1074-3219||1995|2001|0|
Mol Hum Reprod|Molecular human reproduction|9513710|1360-9947|1460-2407|1995|uuuu|0|
Chemistry|Chemistry (Weinheim an der Bergstrasse, Germany)|9513783|0947-6539|1521-3765|1949|uuuu|1|Angew Chem Int Ed Engl (0370543) -Continued In Part By-> Chemistry (9513783)
Hist Cienc Saude Manguinhos|Historia, ciencias, saude--Manguinhos|9513999|0104-5970|1678-4758|1994|uuuu|0|
J Nurs Law|Journal of nursing law|9514027|1073-7472|1938-2995|1993|2012|0|
Proc Assoc Am Physicians|Proceedings of the Association of American Physicians|9514310|1081-650X|1525-1381|1886|1999|1|Trans Assoc Am Physicians (7506109) -Continued by-> Proc Assoc Am Physicians (9514310)
Swiss Surg|Swiss surgery = Schweizer Chirurgie = Chirurgie suisse = Chirurgia svizzera|9514313|1023-9332|2235-1884|1995|2003|0|
J Appl Genet|Journal of applied genetics|9514582|1234-1983|2190-3883|1995|uuuu|0|
Russ Coiles Health Trends|Russ Coile's health trends|9514805|1079-7726||1985|2003|2|Hosp Entrep Newsl (8712401) -Continued by-> Hosp Strategy Rep (8903894) -Continued by-> Russ Coiles Health Trends (9514805)
Invertebr Biol|Invertebrate biology : a quarterly journal of the American Microscopical Society and the Division of Invertebrate Zoology/ASZ|9514900|1077-8306|1744-7410|1895|1994|1|Trans Am Microsc Soc (7506104) -Continued by-> Invertebr Biol (9514900)
J Obstet Gynaecol (Tokyo 1995)|Journal of obstetrics and gynaecology (Tokyo, Japan)|9515066|1340-9654||1980|1995|1|Asia Oceania J Obstet Gynaecol (8102781) -Continued by-> J Obstet Gynaecol (Tokyo 1995) (9515066)
Top Spinal Cord Inj Rehabil|Topics in spinal cord injury rehabilitation|9515174|1082-0744|1945-5763|1995|uuuu|0|
Adv Pract Nurs Q|Advanced practice nursing quarterly|9515177|1080-4293||1995|1998|0|
Entre Nous Cph Den|Entre nous (Copenhagen, Denmark)|9515186|1014-8485||1990|uuuu|0|
Mak Rounds Health Faith Ethics|Making the rounds in health, faith, & ethics|9515689|1082-1015||1986|1996|1|Second Opin (8704074) -Continued by-> Mak Rounds Health Faith Ethics (9515689)
Turk J Gastroenterol|The Turkish journal of gastroenterology : the official journal of Turkish Society of Gastroenterology|9515841|1300-4948||1995|uuuu|0|
Can J Urol|The Canadian journal of urology|9515842|1195-9479||1994|uuuu|0|
Drugs (Abingdon Engl)|Drugs (Abingdon, England)|9515845|0968-7637||1994|uuuu|0|
Int. J. Bio-Chromatogr.|International journal of bio-chromatography|9515846|1068-0659||1994|2001|0|
